Alloy name (composition),Phase (if known),FCC,BCC,Im,HCP,sigma,Processing (if known),Processing (Binary),Reference,Hardness (HV),Yield strength (MPa),Tensile strength (MPa),Elongation (ductility) %,Compressive strength (MPa),Plasticity  (ductility) %,delete,duplicate
CoFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,125,,,,204,,,
CoFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,125,,,,209,,,
CoFeNi,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,211,513,31,,,,
CoFeNiV,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,238,,,,,,,
CrNbTiVZr,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,482,,,,1298,3,,
HfMoNbTaTiZr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,505,,,,1512,12,,
HfMoNbTaTiZr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,505,,,,1512,12,,
HfNbTaTiZr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,295,,,,1073,50,,
HfNbTaTiZr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,335,,,,1015,50,,
HfNbTaTiZr,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,390,,,,929,50,,
NbMoTaW ,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.surfcoat.2021.128005 ,4500,,,,,,,
Al0.5CoCrFeNiTi,BCC + Im,0,1,1,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,,,,,,10,,
Al0.5CoFeNi,FCC + BCC,1,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,212,,,,346,,,
Al0.5CrFe1.5MnNi0.5,BCC,0,1,0,0,0,,NA,https://doi.org/10.1016/j.dib.2018.11.111,396,,,,,,,
NbMoTaW ,FCC,1,0,0,0,0,,NA,https://doi.org/10.1016/j.surfcoat.2021.128005 ,16000,,,,,,,
